Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
25.871335458,1,1,0,0,1,0,0,1
25.871389208,1,0,0,0,1,0,0,1
25.871447583,1,1,0,0,1,0,0,1
25.871502750,1,0,0,0,1,0,0,1
25.871561167,1,1,0,0,1,0,0,1
25.871616292,1,0,0,0,1,0,0,1
25.871674708,1,1,0,0,1,0,0,1
25.871678625,0,1,0,0,1,0,0,1
25.871729875,0,0,0,0,1,0,0,1
25.871788250,0,1,0,0,1,0,0,1
25.871789667,1,1,0,0,1,0,0,1
25.871843417,1,0,0,0,1,0,0,1
25.871854000,1,0,0,0,1,1,0,1
25.871859750,1,0,0,0,1,0,0,1
25.871924583,1,0,0,0,1,1,0,1
25.872421125,1,0,0,1,1,1,0,1
25.872511542,1,0,0,0,1,1,0,1
25.872614625,1,0,0,0,1,0,0,1
25.872695167,1,0,0,0,1,1,0,1
25.872696667,1,1,0,0,1,1,0,1
25.872700625,0,1,0,0,1,1,0,1
25.872751833,0,0,0,0,1,1,0,1
25.872810250,0,1,0,0,1,1,0,1
25.872865375,0,0,0,0,1,1,0,1
25.872923292,0,0,0,0,1,0,0,1
25.872923792,0,1,0,0,1,0,0,1
25.872978958,0,0,0,0,1,0,0,1
25.873035833,0,0,0,0,1,1,0,1
25.873037333,0,1,0,0,1,1,0,1
25.873038750,1,1,0,0,1,1,0,1
25.873092500,1,0,0,0,1,1,0,1
25.873150375,1,0,0,0,1,0,0,1
25.873150917,1,1,0,0,1,0,0,1
25.873206042,1,0,0,0,1,0,0,1
25.873262917,1,0,0,0,1,1,0,1
25.873264417,1,1,0,0,1,1,0,1
25.873319583,1,0,0,0,1,1,0,1
25.873378000,1,1,0,0,1,1,0,1
25.873381917,0,1,0,0,1,1,0,1
25.873433167,0,0,0,0,1,1,0,1
25.873491042,0,0,0,0,1,0,0,1
25.873491583,0,1,0,0,1,0,0,1
25.873493000,1,1,0,0,1,0,0,1
25.873546708,1,0,0,0,1,0,0,1
25.873558708,1,0,0,0,1,1,0,1
25.873578250,1,0,0,1,1,1,0,1
25.873665875,1,0,0,0,1,1,0,1
25.873755208,1,0,0,0,1,0,0,1
25.873830708,1,0,0,0,1,1,0,1
25.873832208,1,1,0,0,1,1,0,1
25.873836125,0,1,0,0,1,1,0,1
25.873887375,0,0,0,0,1,1,0,1
25.873945750,0,1,0,0,1,1,0,1
25.874000917,0,0,0,0,1,1,0,1
25.874059292,0,1,0,0,1,1,0,1
25.874060750,1,1,0,0,1,1,0,1
25.874114458,1,0,0,0,1,1,0,1
25.874172375,1,0,0,0,1,0,0,1
25.874172875,1,1,0,0,1,0,0,1
25.874176792,0,1,0,0,1,0,0,1
25.874228042,0,0,0,0,1,0,0,1
25.874286417,0,1,0,0,1,0,0,1
25.874287833,1,1,0,0,1,0,0,1
25.874341583,1,0,0,0,1,0,0,1
25.874400000,1,1,0,0,1,0,0,1
25.874403875,0,1,0,0,1,0,0,1
25.874455125,0,0,0,0,1,0,0,1
25.874513542,0,1,0,0,1,0,0,1
25.874568667,0,0,0,0,1,0,0,1
25.874625583,0,0,0,0,1,1,0,1
25.874627083,0,1,0,0,1,1,0,1
25.874628500,1,1,0,0,1,1,0,1
25.874682250,1,0,0,0,1,1,0,1
25.874698500,1,0,0,0,1,0,0,1
25.874714500,1,0,0,1,1,0,0,1
25.874790417,1,0,0,1,1,1,0,1
25.874962625,1,0,0,0,1,1,0,1
25.875081292,1,1,0,0,1,1,0,1
25.875085208,0,1,0,0,1,1,0,1
25.875136458,0,0,0,0,1,1,0,1
25.875194833,0,1,0,0,1,1,0,1
25.875196250,1,1,0,0,1,1,0,1
25.875250000,1,0,0,0,1,1,0,1
25.875308417,1,1,0,0,1,1,0,1
25.875363542,1,0,0,0,1,1,0,1
25.875421458,1,0,0,0,1,0,0,1
25.875421958,1,1,0,0,1,0,0,1
25.875477125,1,0,0,0,1,0,0,1
25.875535500,1,1,0,0,1,0,0,1
25.875590667,1,0,0,0,1,0,0,1
25.875649083,1,1,0,0,1,0,0,1
25.875704208,1,0,0,0,1,0,0,1
25.875761083,1,0,0,0,1,1,0,1
25.875762625,1,1,0,0,1,1,0,1
25.875817792,1,0,0,0,1,1,0,1
25.875875667,1,0,0,0,1,0,0,1
25.875876167,1,1,0,0,1,0,0,1
25.875931333,1,0,0,0,1,0,0,1
25.875942333,1,0,0,0,1,1,0,1
25.875948083,1,0,0,0,1,0,0,1
25.875957125,1,0,0,1,1,0,0,1
25.875991000,1,0,0,1,1,1,0,1
25.876040917,1,0,0,0,1,1,0,1
25.876175917,1,0,0,0,1,0,0,1
25.876215333,1,0,0,0,1,1,0,1
25.876216833,1,1,0,0,1,1,0,1
25.876220750,0,1,0,0,1,1,0,1
25.876272000,0,0,0,0,1,1,0,1
25.876329875,0,0,0,0,1,0,0,1
25.876330417,0,1,0,0,1,0,0,1
25.876385542,0,0,0,0,1,0,0,1
25.876443958,0,1,0,0,1,0,0,1
25.876499083,0,0,0,0,1,0,0,1
25.876557500,0,1,0,0,1,0,0,1
25.876558917,1,1,0,0,1,0,0,1
25.876612625,1,0,0,0,1,0,0,1
25.876671042,1,1,0,0,1,0,0,1
25.876726208,1,0,0,0,1,0,0,1
25.876784583,1,1,0,0,1,0,0,1
25.876839750,1,0,0,0,1,0,0,1
25.876898167,1,1,0,0,1,0,0,1
25.876902083,0,1,0,0,1,0,0,1
25.876953292,0,0,0,0,1,0,0,1
25.877011708,0,1,0,0,1,0,0,1
25.877013125,1,1,0,0,1,0,0,1
25.877066875,1,0,0,0,1,0,0,1
25.877077250,1,0,0,0,1,1,0,1
25.877083000,1,0,0,0,1,0,0,1
25.877099083,1,0,0,1,1,0,0,1
25.877147833,1,0,0,1,1,1,0,1
25.877189542,1,0,0,0,1,1,0,1
25.877293208,1,0,0,0,1,0,0,1
25.877350833,1,0,0,0,1,1,0,1
25.877352375,1,1,0,0,1,1,0,1
25.877356292,0,1,0,0,1,1,0,1
25.877407500,0,0,0,0,1,1,0,1
25.877465917,0,1,0,0,1,1,0,1
